,fold 1,fold 2,fold 3,fold 4,fold 5
w0,-0.051660156781429004,0.2355635296512354,0.2911055289780631,0.31474496097175875,-1.582700977885565
w1,-0.6509471432081931,-0.6220380054285319,-0.5301423696643967,-0.5440585526608285,-0.6804421119384318
w2,-1.3309017408340835,-1.4182882309931613,-1.4338245085264532,-1.581432038099841,-0.4675885033523484
w3,-0.007881995371528002,-0.0686343359370014,-0.09287035345480325,0.01050030594199211,-0.09917569933405615
w4,-0.06883557380290607,0.5573896070357945,-0.4982058516220704,-0.22917262311667028,-0.2012560251403126
w5,0.4605427928596486,0.4922104655794194,0.2836697691178237,0.563678107982495,0.41677070954240564
w6,0.36834409513431116,0.2255622579416124,0.5335380046473791,0.46734319494477966,0.37519346900914263
w7,0.10146201856460807,0.2043647754841162,0.33061667090436003,0.05908242493816336,0.11957850743886869
w8,1.2353280050969633,0.9197336840745002,0.9600725897667686,1.019815433223145,1.2176348551399052
w9,-0.6738793047597299,-0.6604558773776797,-1.1739096743438258,0.26528166872191394,-0.6048758862462486
w10,-0.3320262900714147,-0.19373954623230832,-0.3632141850252801,-0.3138101318075429,-0.518732416443287
w11,0.8704156329413065,1.1157698519948214,0.9215179550772117,0.873157672251395,1.0059152932532935
w12,2.2671584536641887,3.3856443095154125,2.524458890607241,2.64024325489289,2.002627525970961
w13,0.0649252693507526,0.18880108184725664,0.2208702529821036,-0.06138414714956614,0.15515415048137313
w14,-0.07986094555280501,-0.29521868650345506,-0.05738103081411602,-0.19382185171155578,0.05471306029846008
w15,0.3346421628040011,0.5332998575253408,0.0940157009970348,0.40130675125119275,0.34929795774758515
w16,0.758273796012984,0.7737776720419195,0.9206048162449828,0.7054509272953832,0.8639108693738813
w17,2.583122803448162,2.974236586329364,1.6524884450579351,2.5138549690301883,2.4591165874994365
w18,0.2710018380484487,0.2687286211577569,0.40246931159991284,0.08541547543015637,0.8194982243875409
w19,-0.13489369470930843,0.4835553470432346,-0.5928231784801697,-0.20873858322449793,-0.2888597167759599
w20,-0.2705958306905087,-0.2435978522091069,-0.4211186734467453,-0.22030290545115355,-0.3822060832135655
w21,-0.08018557395068357,-0.22180814529405377,0.14654684242045318,0.06448092584318271,-0.14797398210757928
w22,-0.3439910281706582,-0.34591254865510024,0.0017767367476221492,-0.2895651274721556,-0.4991435539517687
w23,0.5607399431953619,0.33301778667290416,0.376392327139648,0.38424313910550384,0.46827787808825033
w24,0.262603966893537,0.23581432245080697,0.22778635947116319,-0.08472327446382644,0.2803365726381973
w25,-0.49374616680317857,-0.40937399747069364,-0.39921957270485103,-0.35372810082174333,-0.6586162030693781
w26,0.48830136636521315,0.9772752270840084,0.30817603428326534,0.5876885971415059,0.5863015452513871
w27,-0.855705028835573,0.007286582253314383,0.20634484298975977,0.4650562412067286,-0.6355199669887978
w28,-0.4058531156146319,-0.2966309795229136,-0.2423781113598955,-0.4585498554360938,0.05835784019260642
w29,0.11879164125275649,0.46908020966715624,0.22889191925686014,0.20784913298152163,0.0929784734967426
w30,9.252134749201598,10.066011036390503,9.410262843031997,9.69846840113417,8.442739953895028
w31,1.6459442471054258,1.5314129585398577,1.4732558475842894,1.5345738060463985,1.1333628196356114
w32,0.17152846145463765,0.73251813707619,0.23995344818325645,0.347196869927331,-0.08026081737243046
w33,6.332837161441897,7.085576235670838,6.592594721984556,6.782283317926733,6.056939393784525
w34,-4.416907799702076,-4.39313852186602,-4.440932272555961,-4.426621564449219,-4.5328329626505806
w35,0.0780519443716054,0.05713621524520835,0.1545654382458886,0.004821060837207274,0.03093943862989942
w36,1.497811777177448,1.9518424990553551,1.6838927438362021,2.1042668299930374,5.391551024012613
w37,0.7631386636318115,0.9110135714574603,0.8528297152957542,0.793014851885801,0.7574398621868688
w38,-0.16235531720475918,-0.07477797760465989,-0.22663697960929635,-0.1955928329409856,-0.0732948188459943
w39,-0.043878309200131534,-0.341945682122898,-0.20789994204985882,-0.1148003481099461,-0.14531521628012684
w40,-0.14224918201773648,-0.11579866837921693,-0.15369969186656549,-0.13354586114158395,-0.19380570478883286
w41,0.19372869885837685,0.1576513574331673,0.2533494016827891,0.3706846282991719,0.19828195724829273
w42,0.11009521183525353,0.09786102333745576,0.13770846074523355,0.16469907956730964,0.10618460987184905
w43,0.14268391407711084,0.31196574989988995,0.18527694646357873,0.09601289161086259,0.34777507052272405
w44,-0.11720583124431799,-0.04757884509210262,-0.0120150498748997,-0.2175753539720741,-0.2567838682545952
w45,-0.1555354207596012,-0.2266224412289527,-0.21646814761116814,-0.04024817900378326,-0.2566126366770325
w46,0.28214701927243424,0.05441770023363895,0.13012414623435653,0.28229317825052164,0.27792257839422435
w47,-0.18114548373016465,0.02321694211485467,-0.046962792311623605,-0.022251762728732034,-0.0827492828330091
w48,0.22236661436299765,0.3207425167498626,0.299476700497272,0.38369812632782346,0.29768894073916463
w49,-0.06095544858048941,-0.06055908592395527,-0.04227808710729485,-0.1600847510072526,-0.03987731586884681
w50,0.12096450748793527,0.04144241465486042,0.0370133944075612,-0.18454248199781934,0.07770874526212282
w51,-0.22375506225846362,-0.15452430136878847,-0.16149738603015895,-0.2512309765367738,-0.270285600181835
w52,7.274513645576238,7.337541733245892,7.299113422856633,7.383618213374741,7.2861791573162495
