,fold 1,fold 2,fold 3,fold 4,fold 5,mean,std
RMSE train,29.41532253618341,28.615315575953467,29.925344198543325,30.04330751239879,28.532347862244272,29.306327537064654,0.6347823388372419
RMSE test,29.342734098059385,32.832534630924684,26.842417440092504,26.624191048191506,32.25941309391199,29.58025806223601,2.609432722272617
R2 train,0.3014586054413081,0.32502618169902187,0.3245800489598504,0.319124235829657,0.31918214971922676,0.31787424432981287,0.00858911310025024
R2 test,0.35960533913279025,0.25451749193172946,0.2760549603036756,0.28849928583586393,0.31356448555079675,0.2984483125509712,0.03605285826177822
w0,0.04433356878515852,-1.4242747402710338,0.03895944796917322,0.07842489494499401,0.4821106110091738,-0.1560892435125069,0.6555613907750595
w1,-0.5498903522011176,-0.6933882316071306,-0.6205550646801474,-0.7067120988001118,-0.4933067231102625,-0.6127704940797539,0.08198822971357535
w2,-1.7097836475505872,-0.6627138538790232,-1.089638196750401,-1.2358723213311236,-1.8565220328779357,-1.3109060104778143,0.43163474953514847
w3,-0.09256678216795297,-0.08706744001191269,0.036509803409031066,-0.023025005582932464,-0.06376574794350173,-0.04598303445945376,0.04797152951181581
w4,-0.050492274400868814,-0.36149916517640485,-0.053271995802560396,-0.3738406185368401,-0.46393386548050974,-0.2606075838794368,0.17405682834321945
w5,0.4836897039697678,0.3678174243360226,0.3434361694174011,0.34464162737251736,0.561161462454971,0.420149277510136,0.08746056384082809
w6,0.2929077792367005,0.18989463378824575,0.2929902349156126,0.45645739245987804,0.4952628010616721,0.34550256829242176,0.11355763875519785
w7,-0.1655973881419112,-0.13656792909928708,0.27770730298630253,0.05113825404136985,0.5192158634125597,0.10917922063980676,0.25915028963822834
w8,1.3487665826163693,1.100512262979036,0.9781163702101958,1.084353553212627,0.7756608282362832,1.0574819194509022,0.18608732789756033
w9,0.11662996487244603,-1.376861670590885,-0.8958293241091436,-2.059550868013956,-0.6584385692767178,-0.9748100934236513,0.726068636263458
w10,-0.3643198967779806,-0.4568907889637276,-0.31797273616837196,-0.5179661670190677,-0.10407838680031925,-0.3522455951458935,0.14235259425214233
w11,0.9282274500163368,0.6963038767361955,0.7436230994575954,0.898761072747857,1.0043480985520221,0.8542527195020014,0.11590394888675942
w12,2.4101767545807364,2.5335601952666433,2.41331139223189,2.320317000068552,2.352939918309848,2.406061052091534,0.07280032316011949
w13,0.02724145311410102,0.04261744034802238,0.04181940206082922,0.2885480028506607,0.186252428896332,0.11729574545398906,0.10340760425535774
w14,0.017709141375485373,-0.05996696752626907,-0.268255854008842,-0.2140060203984075,0.31175164703040426,-0.04255361070552579,0.2048435848959458
w15,0.25110894656395727,0.18243456984461923,0.43085101652108204,0.3938386702418133,0.31653839779277937,0.31495432019285025,0.0908790516790957
w16,0.7182711863164636,0.6460896302460732,0.6613207033174019,0.8763300305027955,1.0287962267563058,0.786161555427808,0.1461618434653047
w17,1.5282062911050343,2.4000121371385603,2.7462790213716133,2.6082589444766855,2.575612780587929,2.3716738349359643,0.43592045379459426
w18,0.5323626843508684,0.15808981099277897,0.3165098906936902,0.2934830326326636,0.4262296221124546,0.34533500815649115,0.12657295829133372
w19,-0.2516073677982966,-0.40561667596059964,-0.13895848066307562,-0.6108319779639191,-0.35758668657361925,-0.352920237791902,0.15834208991828666
