,fold 1,fold 2,fold 3,fold 4,fold 5,mean,std
w36,1.7636382995334627,4.776930489318949,1.8719587390291308,1.3643666092353712,2.1470957844526364,2.38479798431391,1.2222048841389939
w37,0.8107486400445579,0.7550417861705796,0.8235873638145101,0.9316820423195462,0.7507395501121735,0.8143598764922736,0.06546580773730437
w38,0.004525108097192237,-0.13599195433014483,-0.22219708517569586,-0.23475310417674206,-0.09522406596727945,-0.136728220310534,0.0878515161166003
w39,-0.08219444646515052,-0.18286515499569578,-0.20939271639164522,-0.16898867617433083,-0.17484966531087973,-0.16365813186754044,0.0430129262473447
w40,-0.26065414841438456,-0.14862961291649499,-0.13523415991340354,-0.07184196476485034,-0.12610992323871084,-0.14849396184956884,0.06185842228906365
w41,0.05277152707680432,0.29142411451148514,0.23195521252752482,0.3720447123992852,0.1709727464363986,0.2238336625902996,0.10831202584463252
w42,0.15355691237576838,0.10711773498917539,0.09931392793029115,0.12463456003898593,0.08234361474063846,0.11339335001497186,0.024253560873036213
w43,0.29950711797996155,0.09468070247018,0.24689455000070726,0.1604817770504236,0.2593861926584433,0.21219006803194315,0.0742136656028561
w44,-0.1705244759189568,-0.04521584244876787,-0.03534365524223946,-0.21585800102566266,-0.13194000906166986,-0.11977639673945935,0.0702042160845282
w45,-0.1302633673994361,-0.08940437747778819,-0.2588524674710684,-0.21057372796283852,-0.1709649911557215,-0.17201178629337052,0.0593234144400917
w46,0.27526357943543917,0.10955228865967165,0.1679323663226542,0.3307468534660175,0.23757101671714181,0.22421322092018486,0.07803672040466345
w47,-0.30252326150025377,0.08285332247421283,0.04373412687236523,0.0005364303834360998,-0.12121173598073733,-0.05932222355019538,0.13956691034007912
w48,0.22098963442964498,0.29567376509595056,0.3269146317962941,0.40327971096798715,0.23322128401558245,0.29601580526109184,0.06638144040062251
w49,0.004511393946782315,-0.16308511793458444,0.04005393466135218,-0.21523200433544723,-0.021605302659597234,-0.07107141926429889,0.09975700242187939
w50,0.1939626441404034,-0.04459447495240642,-0.07561847134323949,-0.10717752494408869,0.029984073454283902,-0.0006887507290094602,0.1074355828882824
w51,-0.2613052293095949,-0.18654950260780678,-0.24382315817605332,-0.192320720577432,-0.18444136475288175,-0.21368799508475375,0.032323219608585814
w52,7.310987259470239,7.22104016377816,7.399731254335011,7.40491147455847,7.272321894621981,7.3217984093527715,0.07169147851436021
